رقم الصنف,الوصف,عدد الباركودات,الباركودات
6533,معكرونة لولبي أوبا 200 جرام / OBA,7,8690828069437 | 8690828069239 | 8690828069741 | 8690828069116 | 8690828069345 | 8690828069529 | 8690828069024
6534,,2,8998866200844 | 8998866200837
6536,معكرونة رويال 500 جرام,5,6224000200411 | 6224000200497 | 6224000200466 | 6224000200404 | 6224000200640
6537,نودلز كوري 120 جم,1,8801043150620
6538,اندومي كوري 140 جم كاري /Buldak,13,8801073113312 | 8801073110502 | 8801073113893 | 8801073113428 | 6985851111157 | 6985851111171 | 6985851111225 | 6985851111294 | 6985851111201 | 6985851111126 | 8801073114548 | 8801073115088 | 8801073115378
6539,أندومي ماربيلا بكيت 70جم دجاج/,1,6224008829782
6540,أندومي ماربيلا علبة 60جم لحمة/Mcaranella,3,6224008829775 | 6224011085175 | 6224011085083
6542,اندومي تاكس 70 جرام - TAKS  مكس خطير,7,2014697826971 | 2035715901845 | 2014697875122 | 2014697891030 | 2014697885381 | 2014697835874 | 2014697815869
6543,اندومي ماما كاسة 90 جرام - MAMA اصفر,2,8850987123412 | 8850987123542
6544,أندومي حدائق أسطنبول 75 جرام,1,8682644228266
6546,اندومي بريمو ميل 60 جرام كاسة - فيتوتشيني,5,6253503821526 | 6253503821595 | 6253503821601 | 6253503820932 | 6253503821571
6547,معكرونة دل كامبو 500 جرام - DL CAMPO,5,8008857201191 | 8008857301686 | 8008857651361 | 8008857301488 | 8008857301761
6549,معكرونة قطفة تركية 200 جرام بشاميل,1,8691310999355
6550,معكرونة الشيف 250 جرام اسباكتي,5,6224009197804 | 6224009197811 | 6224009197842 | 6224009197866 | 6224009197859
6551,معكرونة الشيف 500 جرام / شعرية,2,6224009197927 | 6253353300752
6552,أندومي جاجا 30 جرام GAGA,2,8888327831871 | 8888327831185
6555,اندومي ريفا 60 جرام Reeva نكهة دجاج,5,4820179255454 | 4820179251883 | 4820179251517 | 4820179251548 | 4820179251531
6556,كرتونة * 40 اندومي ريفا 60 جرام Reeva,1,4820179252460
6557,اندومي دروز 60 جم DRIOZ جبنة فرنسية,5,2009891375288 | 2009851237458 | 2006985641274 | 2008974123754 | 2006985262158
6559,اندومي كاسة ريفا بطاطا 220 جرام Reeva,3,4820179252255 | 4820179252248 | 4820179252231
6560,اندومي ريفا 475 جرام Reeva نكهة الفطر,3,4820179254266 | 4820179253313 | 4820179253320
6561,,3,6224011085328 | 6224011085168 | 6224011085335
6562,معكرونة حواء 400 جرام HAWAA بشاميل,3,6224008559016 | 6224008559092 | 6224008559085
6563,معكرونة ادم 350 جرام HAWAA بشاميل,3,6224008559177 | 6224008559238 | 6224008559870
6564,معكرونة الملكة 400 جرام EL MALEKA فرن,7,6223001512509 | 6223001512257 | 6223001512301 | 6223001512479 | 6223001512158 | 6223001510659 | 6223001512530
6565,معكرونة ايطاليانو 400 جرام italiano سوستة,11,6223001510819 | 6223001510314 | 6223001510840 | 6223001510109 | 6223001510000 | 6223001514190 | 6223001510468 | 6223001510802 | 6223001510833 | 6223001510826 | 6223001510772
6566,معكرونة بوتيجا روسي 400 جم bottega,4,4690329010758 | 4690329010772 | 4690329010765 | 4690329010741
6567,معكرونة بوتيجا روسي 500 جم bottega,1,4690329010932
6570,معكرونة تركية باشمل 400 جرام,3,7290019298212 | 8691310999492 | 6253353300745
6571,,1,6224011424585
6572,اندومي كاركيوكي بطعم الخضار,1,6773505580271
6574,,1,3690828000409
6575,معكرونة بساطة 350 جرام  - حلقات,8,6223007940337 | 6253506130090 | 6223001512264 | 6223007940344 | 6223007940313 | 6224011424554 | 6223007940368 | 6223007940351
6576,,2,4792225006566 | 6290400000197
6577,معكرونة لمنتنا 400 جرام,2,6224009197071 | 4547256018053
6578,معكرونة  بنة 250  جرام,2,6251041130087 | 6253340902105
6582,معكرونة فانتيلو 500 جرام  -,2,6221022010752 | 8690325016019
6583,معكرونة ريزي 500 جرام - Rizzi,15,4760161882773 | 4760161882766 | 6223001512271 | 5304000222871 | 6223007940320 | 4810066002575 | 7290000060880 | 5304000222826 | 4760161882759 | 6253353300813 | 8690325510043 | 8056324082095 | 6224009197064 | 6223007945493 | 7290003781904
6587,,1,7290016276848
6588,معكرونة ستار 500 جرام,3,8697430885431 | 6221022111619 | 8697430885400
6589,,4,6223007946810 | 6224003277014 | 6224003277038 | 6224003277021
6590,اندومي ابو تاج كاسة - دجاج,5,7290020010094 | 7290020010148 | 7290020010049 | 7290020010193 | 7290020010247
6595,معكرونة اسبكتي 350 جرام,2,6224000105594 | 6253353300998
6596,اندومي سوبر مي حار 56 جرام Supermi,1,5285000391760
6597,شعرية تركية 400 جرام,1,8691310001232
6598,اندومي اجنبي 75 جرام - خضار,3,89686140149 | 89686140040 | 89686140101
6599,اندومي سعودي 75 جرام باكو × 5 قطع - خضار,4,8994963002350 | 8994963002336 | 5285000390602 | 5285000390640
6601,,2,6773505580332 | 6773505580349
6604,,1,6926845306364
6608,اندومي كوري الاصليBULDAK دجاج حار,3,6926845305770 | 6926845305794 | 6926845305831
6609,معكرونة مكة 1 كيلو - Makka,1,6624000810151
6611,,1,6271003052240
6614,,1,6224003277960
